name_raw,action,names,studio
Charles Robert Webb (Technical Writing),fix,Charles Robert Webb,
"Oceanway Studios, Nashville, USA",discard,,
"ReelFX Creative Studios, Inc.",discard,,
London Bulgarian Vocal Choir,discard,,
The Bungie Auxiliary Players,discard,,
The Bungie auxiliary players,discard,,
David Hage FOR DAKOTA MUSIC,fix,David Hage,Dakota Music
Pearl Digital Entertainment,discard,,
"Abbey Road Studios, London",discard,,
"Angel Studios, London, UK",discard,,
"AIR Studios, London, UK",discard,,
"Certain Affinity, Inc.",discard,,
"Angel Studios, London",discard,,
Music by Neil Davidge,fix,Neil Davidge,
Green Street Studios,discard,,
The Bungie Webmaster,discard,,
Audiomotion Studios,discard,,
Cynergy Systems Inc,discard,,
Fourth Wall Studios,discard,,
Vossler Media Group,discard,,
"Blacksteinn, LTD.",discard,,
RenderDock studio,discard,,
Toyrocket Studio,discard,,
"FilmOasis, Inc.",discard,,
Overturn studio,discard,,
Giant Studios,discard,,
London Voices,discard,,
The Ant Farm,discard,,
Humain Ltd.,discard,,
7&nbsp;Hz,discard,,
:,discard,,
Omni Interactive Audio,discard,,
Hollywood Studio Symphony,discard,,
Axis Animation,discard,,
Digic Pictures,discard,,
Technicolor Game-Sound Services,discard,,
Northwest Sinfornia,discard,,
Studio X,discard,,
Miles Sound System,discard,,
Blindlight,discard,,
SIDE LA,discard,,
House of Moves,discard,,
Image Metrics,discard,,
NewBreed Visual FX,discard,,
Polygon,discard,,
Schematic,discard,,
Vicon,discard,,
Aaron Nicholls (Engineering),fix,Aaron Nicholls,
Aimee Smith (Production),fix,Aimee Smith,
Albert Robles (Design),fix,Albert Robles,
Alicia Brattin (Business),fix,Alicia Brattin,
Andy Parker (I),fix,Andy Parker,
Bre Miller (Design),fix,Bre Miller,
Chad Armstrong (Design),fix,Chad Armstrong,
Clay Akazawa (IT),fix,Clay Akazawa,
Daveed Kaplan (Character Art),fix,Daveed Kaplan,
David Braun (Engineering),fix,David Braun,
Deacon Davis (Design),fix,Deacon Davis,
Don Alvarez (Tech Art),fix,Don Alvarez,
Doug Hebenthal (Management),fix,Doug Hebenthal,
Howard Schargel (Environment Art),fix,Howard Schargel,
Jim McLeod (I),fix,Jim McLeod,
Jonathan Goff (Community),fix,Jonathan Goff,
Justin Korthof (Community),fix,Justin Korthof,
Kurtis Chinn (Engineering),fix,Kurtis Chinn,
Kutta Srinivasan (Engineering),fix,Kutta Srinivasan,
Laura Akers (Production),fix,Laura Akers,
M.E. Chung (Design),fix,M.E. Chung,
Matt Brown (Engineering),fix,Matt Brown,
Melissa Shaw (Editing) (Volt),fix,Melissa Shaw,Volt
Mitch Walker (Production),fix,Mitch Walker,
Nate Walpole (Animation),fix,Nate Walpole,
Paul Gradwohl (Test),fix,Paul Gradwohl,
Ross Kameny (Tech Art),fix,Ross Kameny,
Ryan Payton (Design),fix,Ryan Payton,
Seth Gibson (Tech Art),fix,Seth Gibson,
Sharon Plotkin (Environment Art),fix,Sharon Plotkin,
Steve Schreiber (Production),fix,Steve Schreiber,
Steve Williams (I),fix,Steve Williams,
Steven Jones (Engineering),fix,Steven Jones,
Ted Fitzgerald (Production),fix,Ted Fitzgerald,
Tim Tao (Environment Art),fix,Tim Tao,
Todd Williams (I),fix,Todd Williams,
Tony Cox (Engineering),fix,Tony Cox,
Whit Brachna (Concept Art),fix,Whit Brachna,
Marty Hasselbach & Carla St. Pierre,fix,Marty Hasselbach|Carla St. Pierre,
"""Halo Cantorum"" and ""Never Forget""",discard,,
Cory Blaksee (Excell,fix,Cory Blaksee,Excell
7th Column,discard,,
Bungie.net Forum Ninjas,discard,,
Halo.Bungie.Org,discard,,
Rooster Teeth,discard,,
Major League Gaming,discard,,
DIGITAL EXTREMES,discard,,
Digital Extremes,discard,,
BINK VIDEO,discard,,
GRANNY 3D,discard,,
FACEFX,discard,,
FACEGEN,discard,,
Texas Film Commission,discard,,
Slate & Ash,discard,,
